#,Listing Title,SKU,LastUpdated,ExpiryDate,SEOTips,Age(Days),VisibilityScore,TotalViews,Views Per Day,TagCount,ImageCount
601,Seating Chart Cards | Bouquet | Boho Chic Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1298337304),RM 1st Class,2022-12-0710:22,2023-01-2505:14,3,97,9%,3,0.03,13,10
630,Seating Chart Cards | Southwest | Summer Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1298333888),RM 1st Class,2022-12-0710:22,2023-01-2504:59,3,97,9%,3,0.03,13,10
535,RSVP CARD | Tis The Season | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329749912),rsvp/tisthe,2022-12-1508:38,2023-03-1006:24,3,51,9%,2,0.04,13,10
623,Seating Chart Cards | Palm Tree | Destination Wedding (1298338356),RM 1st Class,2022-12-0710:22,2023-01-2505:19,3,97,9%,4,0.04,13,10
1061,"WELCOME SIGN | Palm Leaf | Beach Theme Wedding, Welcome To Our Happily Ever After Sign, Travel Wedding Welcome Sign, Colorful Welcome Sign (1332472897)",A4 CARD,2022-12-0710:22,2023-02-2505:35,3,67,9%,3,0.04,13,10
1080,"WELCOME SIGN | Woodlands | Fall Wedding, Wedding Welcome Sign Boho, Bridal Shower Welcome Sign, Friends Bridal Shower Welcome Sign (1318487498)",A1 BOARD,2022-12-0710:22,2023-02-2505:12,3,67,9%,3,0.04,13,10
907,Wedding Invitation | Sunset Beach | Destination Wedding | Luxury Tropical Wedding Invitation | Wedding Invitation Tropical Mexico (1301770720),PS/singlecard/Sunset Beach,2022-12-0607:40,2023-01-3009:34,5,92,9%,5,0.05,13,10
52,"BAR MENU | Outline | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317166400)",PRINT,2022-11-1516:52,2023-02-2305:07,3,69,9%,4,0.06,13,10
58,"BAR MENU | Potpourri | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331138353)",PRINT,2022-11-1516:35,2023-02-2305:08,3,69,9%,4,0.06,13,10
65,"BAR MENU | Whimsical | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317164310)",PRINT,2022-11-1516:25,2023-02-2304:58,3,69,9%,4,0.06,13,10
66,"BAR MENU | White Roses | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317163770)",PRINT,2022-11-1516:54,2023-02-2304:56,3,69,9%,4,0.06,13,10
69,"BAR MENU | Woodlands | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331137531)",PRINT,2022-11-1516:53,2023-02-2305:05,3,69,9%,4,0.06,13,10
496,RSVP CARD | Autumn | rsvp meal choice | rsvp postcard | rsvp cards (1329739396),PS rsvp/autumn,2022-12-1510:12,2023-03-1005:56,3,51,9%,3,0.06,13,10
536,RSVP CARD | Whimsical | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329750282),PS rsvp/whims,2022-12-1508:44,2023-03-1006:25,3,51,9%,3,0.06,13,10
633,Seating Chart Cards | Succulents | Cactus Wedding (1298332980),RM 1st Class,2022-12-0710:22,2023-01-2504:54,1,97,9%,6,0.06,13,10
255,Funny Wedding Card | Congratulations Same Vagina Forever | Congratulations Card | Custom Wedding Card | Wedding Cards (1323897372),WHITE,2022-11-1511:05,2023-03-0206:24,5,59,9%,4,0.07,13,10
688,Thank You Cards | Thank You Dad | Wedding Cards | Custom Wedding Card | Wedding Cards (1337846037),WHITE,2022-11-1511:46,2023-03-0205:19,5,59,9%,4,0.07,13,10
689,Thank You Cards | Thank You Father | Wedding Cards | Custom Wedding Card | Wedding Cards (1337851745),WHITE,2022-11-1509:58,2023-03-0205:35,5,59,9%,4,0.07,13,10
711,Thank You Cards | Thank You From The New Mrs &amp; Mrs | Wedding Cards | Custom Wedding Card | Wedding Cards (1323872440),WHITE + WS,2022-11-1511:29,2023-03-0205:17,5,59,9%,4,0.07,13,10
720,Thank You Cards | You Are The Best Cake Maker Ever | Wedding Cards | Custom Wedding Card | Wedding Cards (1337855977),WHITE,2022-11-1512:02,2023-03-0205:47,5,59,9%,4,0.07,13,10
314,"GOLD FOIL | Wedding Invitations | Blush Florals | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1315316046)",FSC/Blush Florals,2022-12-1507:57,2023-02-2011:22,2,72,9%,5,0.07,13,10
609,Seating Chart Cards | Dusty Blue &amp; Gold | Dusty Blue Wedding (1312367947),RM 1st Class,2022-12-0710:22,2023-01-2505:22,3,97,9%,7,0.07,13,10
636,Seating Chart Cards | Teal Watercolour | Rustic Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1312368351),RM 1st Class,2022-12-0710:22,2023-01-2505:23,3,97,9%,7,0.07,13,10
27,"BAR MENU | Beach | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Modern Wedding Bar Menu (1331138837)",PRINT,2022-11-1516:19,2023-02-2305:10,3,69,9%,5,0.07,13,10
39,"BAR MENU | Confetti | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317163096)",GOLD FOIL,2022-11-1516:48,2023-02-2304:53,3,69,9%,5,0.07,13,10
42,"BAR MENU | Eucalyptus | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317162602)",GOLD FOIL,2022-11-1517:07,2023-02-2304:51,3,69,9%,5,0.07,13,10
46,"BAR MENU | Kraft Eucalyptus | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331134015)",GOLD FOIL,2022-11-1516:47,2023-02-2304:50,3,69,9%,5,0.07,13,10
47,"BAR MENU | Kraft | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1331133621)",PRINT,2022-11-1516:56,2023-02-2304:49,3,69,9%,5,0.07,13,10
1053,"WELCOME SIGN | Feathers | Modern Boho Wedding, Welcome To Our Wedding Sign, Welcome Sign Unplugged Ceremony, The Night Before Welcome Sign (1332473907)",A1 BOARD,2022-12-0710:22,2023-02-2505:37,3,67,9%,5,0.07,13,10
148,DETAILS CARD | Blush Eucalyptus | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328236436),GIC / pinkeucalyptus,2022-12-1510:18,2023-03-0806:44,4,53,9%,4,0.08,13,10
150,DETAILS CARD | Bouquet | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328255860),GIC / bouquet,2022-12-1510:18,2023-03-0807:29,4,53,9%,4,0.08,13,10
152,DETAILS CARD | Burgundy Watercolour | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342229263),GIC / burgundywatercolour,2022-12-1510:08,2023-03-0807:28,4,53,9%,4,0.08,13,10
188,DETAILS CARD | Woodland | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342235699),GIC / woodland,2022-12-1510:17,2023-03-0807:42,4,53,9%,4,0.08,13,10
832,WEDDING INVITATION | Chalkboard | Boho Invitation (1315663739),PS gate/Chalkboard,2022-12-0610:46,2023-01-3003:34,1,92,9%,7,0.08,13,10
835,WEDDING INVITATION | Classic Floral | Rustic Wedding (1315798125),PS/singlecard/Classic Floral,2022-12-0607:41,2023-01-3009:33,2,92,9%,7,0.08,13,10
